municipality_code,year,population
06401,2010,8862
06402,2000,17149
06402,2005,16331
06402,2010,15314
06403,2000,9204
06403,2005,8623
06403,2010,7943
06426,2000,7879
06426,2005,8003
06426,2010,7731
06428,2005,24677
06428,2010,23158
06461,2000,18037
06461,2005,16852
06461,2010,15480
07000,2000,2126935
07000,2005,2091319
07000,2010,2029064
07201,2000,291121
07201,2005,290869
07201,2010,292590
07202,2000,118118
07202,2005,122248
07202,2010,126220
07203,2000,334824
07203,2005,338834
07203,2010,338712
07204,2000,360138
07204,2005,354492
07204,2010,342249
07205,2000,47685
07205,2005,47854
07205,2010,64704
07207,2000,66747
07207,2005,80364
07207,2010,79267
07208,2000,37495
07208,2005,36410
07208,2010,52356
07209,2000,38842
07209,2005,38630
07209,2010,37817
07210,2000,36233
07210,2005,35107
07210,2010,59871
07211,2005,43253
07211,2010,40422
07212,2010,70878
07213,2010,66027
07214,2010,31489
07301,2000,13700
07301,2005,13411
07301,2010,12853
07303,2000,11198
07303,2005,10692
07303,2010,10086
07308,2000,17751
07308,2005,17034
07308,2010,15569
07322,2000,8407
07322,2005,8464
07322,2010,8574
07342,2000,12743
07342,2005,12746
07342,2010,12815
07344,2000,6889
07344,2005,6486
07344,2010,6291
07362,2000,7579
07362,2005,7053
07362,2010,6461
07364,2000,757
07364,2005,706
07364,2010,636
07367,2000,5557
07367,2005,5284
07367,2010,4932
07368,2010,17864
07402,2000,3644
07402,2005,3475
07402,2010,3185
07405,2000,9075
07405,2005,8237
07405,2010,7366
07407,2000,4109
07407,2005,3951
07407,2010,3761
07408,2000,18178
07408,2005,17009
07408,2010,15805
07421,2000,19426
07421,2005,18274
07421,2010,17360
07422,2000,3601
07422,2005,3570
07422,2010,3364
07423,2000,4669
07423,2005,4260
07423,2010,4009
07444,2000,2474
07444,2005,2250
07444,2010,1926
07445,2000,3204
07445,2005,2834
07445,2010,2462
07446,2000,1874
07446,2005,1632
07446,2010,1500
07447,2005,24741
07447,2010,22737
07461,2000,18642
07461,2005,19494
07461,2010,19767
07464,2000,6823
07464,2005,6761
07464,2010,6802
07465,2000,5274
07465,2005,5174
07465,2010,5154
07466,2000,18892
07466,2005,18735
07466,2010,18407
07481,2000,16376
07481,2005,15795
07481,2010,15062
07482,2000,7062
07482,2005,6740
07482,2010,6348
07483,2000,11296
07483,2005,10619
07483,2010,9884
07484,2000,4602
07484,2005,4322
07484,2010,3989
07501,2000,19914
07501,2005,18921
07501,2010,17775
07502,2000,7680
07502,2005,7602
07502,2010,7231
07503,2000,7910
07503,2005,7538
07503,2010,6921
07504,2000,7484
07504,2005,7272
07504,2010,6888
07505,2000,6818
07505,2005,6511
07505,2010,6030
07521,2000,19976
07521,2005,19194
07521,2010,18191
07522,2000,12555
07522,2005,12105
07522,2010,11202
07541,2000,5813
07541,2005,5533
07541,2010,5418
07542,2000,8380
07542,2005,8188
07542,2010,7700
07543,2000,16173
07543,2005,15910
07543,2010,16001
07544,2000,3384
07544,2005,3125
07544,2010,2820
07545,2000,10803
07545,2005,10992
07545,2010,11515
07546,2000,7647
07546,2005,7170
07546,2010,6932
07547,2000,22609
07547,2005,21615
07547,2010,20905
07548,2000,1736
07548,2005,1625
07548,2010,1531
07561,2000,9017
07561,2005,8584
07561,2010,8224
07564,2000,7093
07564,2005,6722
07564,2010,6209
08000,2000,2985676
08000,2005,2975167
08000,2010,2969770
08201,2000,246739
08201,2005,262603
08201,2010,268750
08202,2000,193353
08202,2005,199218
08202,2010,193129
08203,2000,134702
08203,2005,135058
08203,2010,143839
08204,2000,58727
08204,2005,145265
08204,2010,142995
08205,2000,52568
08205,2005,81887
08205,2010,79687
08207,2000,52774
08207,2005,52460
08207,2010,52494
08208,2000,76923
08208,2005,78950
08208,2010,80334
08210,2000,37008
08210,2005,36895
08210,2010,44987
08211,2000,42015
08211,2005,41867
08211,2010,65320
08212,2000,39680
08212,2005,59802
08212,2010,56250
08214,2000,34602
08214,2005,32932
08214,2010,31017
08215,2000,51593
08215,2005,49645
08215,2010,47026
08216,2000,30076
08216,2005,29668
08216,2010,79409
08217,2000,82527
08217,2005,111327
08217,2010,109651
08219,2000,73258
08219,2005,77223
08219,2010,81684
08220,2000,165978
08220,2005,200528
08220,2010,214590
08221,2000,151673
08221,2005,153639
08221,2010,157060
08222,2000,62287
08222,2005,64435
08222,2010,66093
08223,2005,31524
08223,2010,30534
08224,2005,53700
08224,2010,62482
08225,2005,47808
08225,2010,45178
08226,2005,54705
08226,2010,54240
08227,2005,112581
08227,2010,108527
08228,2005,57516
08228,2010,56114
08229,2005,49689
08229,2010,46895
08230,2005,44603
08230,2010,43553
08231,2005,48400
08231,2010,45673
08232,2005,91867
08232,2010,94795
08233,2005,40035
08233,2010,37611
08234,2010,50156
08235,2010,44461
08236,2010,52279
08302,2000,35296
08302,2005,35008
08302,2010,34513
08309,2000,19957
08309,2005,19205
08309,2010,18328
08310,2005,22993
08310,2010,21491
08341,2000,34333
08341,2005,35450
08341,2010,37438
08364,2000,23982
08364,2005,22103
08364,2010,20073
08442,2000,18219
08442,2005,18118
08442,2010,17299
08443,2000,46922
08443,2005,47994
08443,2010,47940
08447,2000,11502
08447,2005,10959
08447,2010,10172
08521,2000,24352
08521,2005,23609
08521,2010,23106
08542,2000,10218
08542,2005,9873
08542,2010,9410
08546,2000,27171
08546,2005,26468
08546,2010,25714
08564,2000,19033
08564,2005,18024
08564,2010,17473
09000,2000,2004817
09000,2005,2016631
09000,2010,2007683
09201,2000,443808
09201,2005,457673
09201,2010,511739
09202,2000,163140
09202,2005,159756
09202,2010,154530
09203,2000,83855
09203,2005,82340
09203,2010,139262
09204,2000,83414
09204,2005,123926
09204,2010,121249
09205,2000,94128
09205,2005,94009
09205,2010,102348
09206,2000,17428
09206,2005,16379
09206,2010,90066
09208,2000,155198
09208,2005,160150
09208,2010,164454
09209,2000,64648
09209,2005,66362
09209,2010,82289
09210,2000,56557
09210,2005,79023
09210,2010,77729
09211,2000,36466
09211,2005,35685
09211,2010,35343
09213,2005,115032
09213,2010,117812
09214,2005,41383
09214,2010,44768
09215,2005,31152
09215,2010,29206
09216,2010,59483
09301,2000,29421
09301,2005,31592
09301,2010,31621
09342,2000,25685
09342,2005,25080
09342,2010,24348
09343,2000,17466
09343,2005,16403
09343,2010,15018
09344,2000,12441
09344,2005,12401
09344,2010,12094
09345,2000,16988
09345,2005,16367
09345,2010,16030
09361,2000,39853
09361,2005,40107
09361,2010,39605
09364,2000,26674
09364,2005,25907
09364,2010,25720
09384,2000,14171
09384,2005,13462
09384,2010,12560
09386,2000,29777
09386,2005,30915
09386,2010,30436
09407,2000,27027
09407,2005,26693
09407,2010,26765
09411,2005,19865
09411,2010,18446
10000,2000,2024852
10000,2005,2024135
10000,2010,2008068
10201,2000,284155
10201,2005,318584
10201,2010,340291
10202,2000,239904
10202,2005,245100
10202,2010,371302
10203,2000,115434
10203,2005,128037
10203,2010,121704
10204,2000,125751
10204,2005,202447
10204,2010,207221
10205,2000,147906
10205,2005,213299
10205,2010,216465
10206,2000,46339
10206,2005,53177
10206,2010,51265
10207,2000,79371
10207,2005,79454
10207,2010,78608
10208,2000,48761
10208,2005,47961
10208,2010,83330
10209,2000,62951
10209,2005,62480
10209,2010,67975
10210,2000,49349
10210,2005,49038
10210,2010,52070
10211,2000,47665
10211,2005,46911
10211,2010,61077
10212,2010,51899
10344,2000,13334
10344,2005,14158
10344,2010,14370
10345,2000,16504
10345,2005,18060
10345,2010,19801
10366,2000,2285
10366,2005,1535
10366,2010,1306
10367,2005,2757
10367,2010,2352
10382,2000,11171
10382,2005,10144
10382,2010,8911
10383,2000,3340
10383,2005,2929
10383,2010,2423
10384,2000,14660
10384,2005,14313
10384,2010,13618
10421,2000,18344
10421,2005,17556
10421,2010,18216
10424,2000,6939
10424,2005,6563
10424,2010,6017
10425,2000,10657
10425,2005,10858
10425,2010,10183
10426,2000,7702
10426,2005,7602
10426,2010,7160
10428,2000,4348
10428,2005,4351
10428,2010,3911
10429,2010,15622
10443,2000,5929
10443,2005,5478
10443,2010,4904
10444,2000,4139
10444,2005,4179
10444,2010,3898
10448,2000,7878
10448,2005,7783
10448,2010,7620
