municipality_code,households_total,population_2015,births_annual
08406,26489,56952,
08407,13998,37570,
08421,4264,13541,
08422,1651,5233,
08423,9123,23878,
08424,2835,9086,
08425,4045,12282,
08440,,72545,
08441,6416,16896,
08442,5864,15842,51
08443,20225,47535,345
08445,9650,23738,
08446,2895,8653,
08447,2895,9168,22
08448,1735,5964,
08449,3506,11297,
08461,5182,15513,
08462,2928,8288,
08463,8583,26676,
08464,10089,26634,
08465,2792,8272,
08482,10658,26709,
08483,9313,22427,
08501,4549,14042,
08502,5127,15076,
08503,5204,16668,
08504,1867,6350,
08505,4847,15030,
08520,,22021,
08521,7017,22021,70
08522,3064,9078,
08523,8418,23137,
08540,,33303,
08541,19652,49130,
08542,2928,8786,20
08543,12848,35643,
08544,4225,13742,
08546,8722,24517,121
08560,,16313,
08561,27385,64753,
08563,12077,31694,
08564,6258,16313,31
09000,796923,1974255,9958
09201,230841,518594,3186
09202,61617,149452,581
09203,60918,159211,677
09204,48121,118919,593
09205,36098,98374,491
09206,32308,83386,248
09207,21808,58295,
09208,69624,166760,1003
09209,29425,79539,426
09210,29792,75457,331
09211,12012,33354,122
09212,24258,60982,
09213,47454,117146,601
09214,16370,44901,250
09215,9186,27047,57
09216,23497,59431,375
09300,,31046,
09301,11544,31046,185
09302,7740,19764,
09303,3483,9641,
09304,13359,34903,
09321,2054,6168,
09322,2776,8541,
09323,882,2178,
09340,,63378,
09341,4999,15100,
09342,7813,23281,78
09343,4458,13188,24
09344,4260,11720,48
09345,5230,15189,90
09360,,65243,
09361,15894,39951,167
09362,8294,21024,
09363,7463,18643,
09364,9841,25292,116
09365,11413,29358,
09366,5405,15652,
09367,6253,17354,
09368,4555,12670,
09380,,41134,
09382,562,1265,
09383,3931,8632,
09384,3623,11495,26
09385,12847,33187,
09386,12205,29639,192
09387,3523,11714,
09400,,41883,
09401,3689,11003,
09402,5497,16044,
09403,3570,10882,
09404,2112,6082,
09405,1331,4360,
09406,3806,13438,
09407,9110,24919,56
09409,20392,48722,
09410,2804,7442,
09411,5682,16964,35
09421,10169,26744,
09422,3331,9520,
10000,805252,1973115,9950
10201,141882,336154,1817
10202,160981,370884,2324
10203,44971,114714,362
10204,86200,208814,1275
10205,92531,219807,1245
10206,18853,48676,174
10207,31643,76667,311
10208,29114,78391,308
10209,25362,65708,279
10210,18514,49746,158
10211,22093,58531,211
10212,19443,50906,255
10301,3021,9404,
10302,3336,10240,
10303,8171,22428,
10304,6673,17849,
10305,2564,7755,
10306,3750,10606,
10307,5720,16254,
10308,661,1966,
10309,805,2077,
10321,7122,19976,
10322,1282,3544,
10323,7532,20486,
10324,16921,40970,
10340,,35409,
10341,3992,11350,
10342,543,1548,
10343,1361,2865,
10344,5116,14329,94
10345,7863,21080,193
10360,,3184,
10361,5340,12303,
10362,2020,5455,
10363,9182,23864,
10364,583,1391,
10365,244,563,
10366,552,1230,8
10367,827,1954,2
10380,,22743,
10381,1398,4026,
10382,2808,7564,10
10383,801,1979,4
10384,4660,13200,47
10401,4956,13703,
10420,,56391,
10421,6352,16850,55
10422,646,1962,
10423,4498,12071,
10424,2191,5536,14
10425,3532,9780,36
10426,3229,6518,23
10427,515,1348,
10428,1165,3674,10
10429,5144,14033,37
10440,,34731,
10441,1293,3568,
10442,1358,3887,
10443,1574,4390,11
10444,997,3647,12
10445,3304,9383,
10446,1707,4176,
10447,1948,5788,
10448,2601,7347,27
10449,6959,19347,50
10460,,36654,
10461,8791,23040,
10462,9999,25275,
10463,11466,28904,
10464,14932,36654,199
10481,5290,13518,
10482,10878,29047,
10483,8410,21200,
10484,11347,29653,
10501,7291,19176,
10520,,105005,
10521,5428,15015,28
10522,4089,11044,34
10523,4074,11318,43
10524,19043,41202,195
10525,9728,26426,99
11000,3162743,7266534,42108
11100,582475,1263979,
11101,38197,87146,723
11102,66563,143446,976
11103,55188,113864,981
11104,70603,161960,1044
11105,47770,98762,773
11106,46374,97910,541
11107,74499,154416,1276
11108,86081,180152,1461
11109,50836,116522,1024
11110,46364,109801,590
11201,153376,350745,2005
11202,80153,198742,909
11203,267141,578112,3497
11204,258217,549873,
11205,230124,505543,
11206,31876,82113,379
11207,23922,63555,258
11208,152652,340386,1891
11209,33563,80715,361
11210,44295,112229,532
11211,33033,77881,396
11212,39797,91437,508
11213,46364,109801,
11214,97638,232709,1110
11215,63776,152405,742
11216,21159,54874,236
11217,47499,118072,605
11218,55854,143811,755
11219,96559,225196,1356
11220,47770,98762,
11221,111923,247034,1421
11222,142774,337498,2058
11223,36827,72260,405
11224,64319,136150,1050
11225,61222,148390,648
11226,28355,62141,
11227,62663,136299,1086
11228,32730,72676,459
11229,39889,80826,607
11230,73686,162122,992
11231,30918,73936,370
11232,62578,152311,674
11233,27403,67409,308
11234,42183,86717,680
11235,50979,108102,783
11236,28139,59754,
11237,60829,136521,831
11238,25474,62380,324
11239,44555,101679,403
11240,20851,52524,159
11241,30537,70255,396
11242,22379,56520,216
11243,27901,69738,418
11245,49395,110970,601
11246,20513,51535,342
11300,,44442,
11301,17812,44442,243
11304,11696,28096,
11320,,87447,
11322,21256,51216,
11324,15035,38456,161
11326,15764,37275,101
11327,4587,11716,41
11330,706,1858,
11340,,133980,
11341,7650,18212,132
11342,7421,18341,70
11343,11781,31178,72
11344,2393,6569,
11345,1808,4923,
11346,7269,20788,42
11347,6864,19631,60
11348,5399,14338,35
11349,4201,11492,24
11360,,41008,
11361,3080,8519,40
11362,3584,10133,30
11363,2605,7324,17
11364,1640,4742,
11365,4170,12117,20
11366,792,2366,
11367,295,788,
11368,1774,5175,
11369,990,2915,2
11380,,55502,
11381,3854,11207,48
11382,7971,20604,
11383,5220,13730,44
11384,355,990,
11385,11856,30565,140
11400,,34081,
11401,2961,8479,
11402,4665,13097,
11403,9139,24875,
11405,6831,18379,
11406,4274,12107,
11407,4901,12979,
11408,13287,34081,149
11421,7213,19518,
11422,1239,3672,
11423,3055,8624,
11424,4348,11607,
11425,5332,13515,
11440,,33705,
11442,14572,33705,184
11445,20513,51535,
11446,7571,19636,
11460,,75556,
11461,10782,26610,
11462,15451,37923,
11464,17706,45495,189
11465,10740,30061,104
11468,13921,36401,
12000,2773840,6222666,35658
12100,447982,971882,
12101,109336,205070,1444
12102,81123,179200,960
12103,74796,160968,848
12104,64840,151078,717
12105,50996,126848,889
12106,66891,148718,712
12202,25544,64415,105
12203,242970,481732,3326
12204,289916,622890,3937
12205,20272,47464,203
12206,58387,134141,848
12207,231195,483480,2867
12208,63581,153583,723
12209,14810,40775,
12210,37120,89688,378
12211,60231,131190,689
12212,70279,172739,690
12213,25403,60652,233
12214,10160,28915,
12215,24299,66586,370
12216,79423,167909,1109
12217,188022,413954,2881
12218,8192,19248,31
12219,117997,274656,1346
12220,83115,174373,1991
12221,85158,193152,1270
12222,56311,131606,672
12223,14578,33932,125
12224,47146,108917,579
12225,35266,86033,389
12226,17830,45601,119
12227,80321,164024,966
12228,38456,89245,617
12229,25430,60952,466
12230,27942,70734,206
12231,38349,92670,906
12232,24141,61674,272
12233,21885,49636,266
12234,14720,39033,89
12235,12883,37261,111
12236,27572,77499,224
12237,19403,52222,144
12238,14484,38594,124
12239,19558,49184,200
12303,9959,26659,
12305,20648,52486,
12320,,42183,
12322,9375,20955,77
12324,21885,49636,
12325,4675,13695,
12326,24141,61674,
12328,2816,8488,
12329,8276,21228,70
12340,,35009,
12341,2367,6760,
12342,2289,6133,25
12343,3899,11437,
12344,8356,22746,
12345,2924,9516,
12346,1482,4462,
12347,5079,14724,52
12348,1996,6854,
12349,4611,14152,43
12361,3698,10726,
12362,3306,9398,
12381,3548,10585,
12382,2723,8346,
12400,,47703,
12402,19558,49184,
12403,6181,16510,30
12404,8356,21944,
12405,6289,16731,
12406,1319,4017,
12407,3439,9530,
12408,4726,13177,
12409,2513,7431,24
12410,8274,23762,74
12420,,60040,
12421,4984,11767,58
12422,2467,7222,22
12423,5613,14359,41
12424,4137,11149,31
12426,2517,7337,12
12427,2636,8206,19
12440,,17158,
12441,3401,9843,20
12442,2306,6772,
12443,3092,7315,11
12444,6871,18017,
12445,5307,13805,
12460,,8022,
12461,1655,4684,
12462,1935,5177,
12463,3034,8022,7
12464,1415,4363,
12465,1963,4657,
12466,4209,10563,
12467,1790,4830,
12468,1753,4759,
12472,2285,5942,
13000,7227180,13515271,86348
13100,5215850,9272740,
13101,37011,58406,575
13102,92533,141183,1751
13103,146160,243283,2355
13104,222800,333560,1992
13105,133661,219724,1820
13106,124345,198073,1433
13107,145768,256274,2123
13108,264278,498109,3582
13109,237641,386855,3093
13110,155715,277622,1949
13111,400164,717082,4548
13112,492065,903346,5906
13113,149967,224533,1608
13114,208093,328215,2092
13115,336339,563997,3675
13116,183819,291167,1675
13117,189700,341076,2257
13118,112009,212264,1442
13119,314446,561916,3220
13120,374842,721722,4880
13121,345346,670122,3761
13122,215948,442913,2613
13123,333200,681298,4110
13201,267020,577513,2624
13202,89727,176295,1102
13203,78054,144730,1010
13204,96389,186936,1141
13205,56523,137381,539
13206,123931,260274,1509
13207,52163,111539,691
13208,120945,229061,1590
13209,192015,432348,2221
13210,63182,121396,896
13211,91287,190005,1227
13212,90404,186283,1190
13213,68478,149956,833
13214,63962,122742,872
13215,38275,73655,402
13216,42529,90008,
13217,54489,110004,
13218,28148,58395,288
13219,42616,80249,474
13220,36336,85157,488
13221,35003,74864,407
13222,51217,116632,618
13223,29978,71229,322
13224,68415,146631,633
13225,39906,87636,636
13227,23809,55833,277
13228,31887,80954,383
13229,97018,200012,1214
13300,,58334,
13303,13017,33445,126
13305,6012,17446,53
13307,835,2209,5
13308,1984,5234,14
13360,,12861,
13361,3712,7884,20
13362,193,337,
13363,1163,2749,8
13364,808,1891,8
13380,,2817,
13381,1377,2482,11
13382,187,335,2
13400,,7791,
13401,3767,7613,30
13402,118,178,1
13420,,3022,
13421,1469,3022,23
14000,4223706,9126214,53991
14100,1753081,3724844,
14101,145586,285356,1665
14102,129183,238966,1502
14103,57054,98532,726
14104,85108,148312,680
14105,103719,194827,903
14106,99126,205493,1055
14107,78731,166229,920
14108,89869,202229,894
14109,175521,344172,2852
14110,122053,275283,1827
14111,95526,215736,1295
14112,107049,247144,1263
14113,79411,180366,1134
14114,52414,124560,730
14115,52592,122171,684
14116,62847,154025,879
14117,132819,309692,1763
14118,84473,211751,1418
14130,747452,1475213,
14131,123515,223378,1242
14132,80088,160890,1389
14133,134763,247529,2256
14134,113791,228141,1699
14135,113583,214158,1756
14136,102317,225594,1612
14137,79395,175523,1041
14150,332770,720780,
14151,74962,173612,814
14152,124877,269888,1432
14153,132931,277280,1620
14201,165473,406586,1607
14203,112191,258227,1296
14204,75722,173019,810
14205,193204,423894,2903
14206,81864,194086,927
14207,102532,239348,1439
14208,24869,57425,267
14209,306501,653904,
14210,17210,45289,121
14211,70478,167378,668
14212,100360,225714,1160
14213,110519,232922,1703
14214,45361,101514,519
14215,58339,130190,985
14216,60257,128737,701
