municipality_code,financial_capability_index,real_debt_service_ratio_pct,taxable_income_per_capita_yen,homeownership_rate_pct,crime_rate_per_1000,doctors_per_100k,ssds_hospital_count,unemployment_rate_pct,tertiary_industry_pct,dwelling_area_sqm,day_night_pop_ratio,school_count,nursery_children,ssds_data_year,ssds_source_url
11223,0.86,5.0,3581218,48.9,24.04,92.9,3,4.3,77.7,67.63,82.2,11,1130,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11224,1.21,8.1,3907743,44.9,19.59,201.6,6,3.6,76.2,65.77,91.7,18,2832,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11225,0.91,3.1,3349829,75.5,14.72,105.7,9,4.3,71.9,88.91,88.9,28,2111,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11227,0.98,4.9,3947780,53.7,13.49,139.6,4,3.4,78.1,70.65,82.9,15,2535,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11228,0.84,1.4,3868523,65.7,15.83,67.7,2,3.9,77.5,78.06,79.5,13,1233,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11229,1.05,4.0,4107381,44.0,13.8,364.3,5,3.1,80.7,63.33,86.3,12,1264,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11230,0.9,5.1,3660938,65.5,15.23,111.4,6,3.7,75.0,77.7,88.0,25,2562,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11231,0.78,5.5,3435964,74.3,15.37,77.6,2,3.9,75.4,98.59,84.0,11,872,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11232,0.84,5.1,3430869,75.4,15.45,165.4,6,3.9,69.6,103.23,94.1,32,2059,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11233,0.77,7.3,3330744,70.2,18.05,233.1,2,4.4,72.9,92.53,82.5,11,785,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11234,1.01,6.0,3604840,56.5,18.29,102.8,4,3.4,66.0,78.42,93.9,15,984,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11235,0.82,2.5,3667376,58.9,13.6,132.3,5,3.7,75.3,75.08,75.4,17,1581,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11237,0.94,8.0,3606783,60.9,16.35,149.8,7,3.8,71.1,80.99,90.4,27,2022,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11238,0.75,4.3,3512150,75.9,12.15,156.1,4,4.5,73.4,104.05,84.0,13,623,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11239,0.81,6.8,3304086,63.8,18.62,88.8,5,5.7,70.9,85.6,92.4,19,970,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11240,0.72,2.7,3093382,74.2,18.12,173.8,6,4.9,68.0,103.45,89.0,12,460,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11241,0.85,6.5,3437378,62.7,16.03,121.2,2,4.4,72.5,84.86,84.2,13,1040,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11242,0.86,3.4,3246531,76.8,12.15,634.0,3,4.4,66.7,101.51,98.2,10,702,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11243,0.84,7.1,3555208,68.6,13.99,90.3,2,3.4,71.7,92.96,82.0,12,1086,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11245,0.79,1.8,3697187,62.6,15.96,74.8,3,3.9,74.4,79.96,82.6,19,2045,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11246,0.83,5.5,3597939,78.4,10.38,147.5,4,3.8,73.5,103.74,79.9,10,420,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11301,0.85,6.3,3529887,72.7,11.77,463.9,5,3.3,71.1,99.52,96.9,9,684,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
